Transaction,Item,period_day,weekday_weekend,Hour,Day,Month,Tanggal,JamMenit
37,1,0.0,1,11,6,5,2016-10-30,11:37
38,1,0.0,1,11,6,5,2016-10-30,11:42
38,2,0.0,1,11,6,5,2016-10-30,11:42
39,13,0.0,1,11,6,5,2016-10-30,11:44
40,11,0.0,1,11,6,5,2016-10-30,11:55
40,15,0.0,1,11,6,5,2016-10-30,11:55
40,0,0.0,1,11,6,5,2016-10-30,11:55
40,10,0.0,1,11,6,5,2016-10-30,11:55
41,13,0.0,1,11,6,5,2016-10-30,11:57
42,1,0.0,1,11,6,5,2016-10-30,11:57
42,2,0.0,1,11,6,5,2016-10-30,11:57
43,13,1.0,1,12,6,5,2016-10-30,12:00
43,16,1.0,1,12,6,5,2016-10-30,12:00
44,0,1.0,1,12,6,5,2016-10-30,12:05
44,6,1.0,1,12,6,5,2016-10-30,12:05
45,0,1.0,1,12,6,5,2016-10-30,12:08
45,7,1.0,1,12,6,5,2016-10-30,12:08
45,6,1.0,1,12,6,5,2016-10-30,12:08
46,0,1.0,1,12,6,5,2016-10-30,12:09
47,64,1.0,1,12,6,5,2016-10-30,12:15
47,11,1.0,1,12,6,5,2016-10-30,12:15
47,1,1.0,1,12,6,5,2016-10-30,12:15
47,10,1.0,1,12,6,5,2016-10-30,12:15
47,92,1.0,1,12,6,5,2016-10-30,12:15
48,0,1.0,1,12,6,5,2016-10-30,12:17
49,0,1.0,1,12,6,5,2016-10-30,12:23
49,0,1.0,1,12,6,5,2016-10-30,12:23
49,6,1.0,1,12,6,5,2016-10-30,12:23
50,1,1.0,1,12,6,5,2016-10-30,12:25
50,89,1.0,1,12,6,5,2016-10-30,12:25
51,1,1.0,1,12,6,5,2016-10-30,12:26
52,13,1.0,1,12,6,5,2016-10-30,12:28
54,1,1.0,1,12,6,5,2016-10-30,12:33
55,66,1.0,1,12,6,5,2016-10-30,12:38
55,0,1.0,1,12,6,5,2016-10-30,12:38
55,2,1.0,1,12,6,5,2016-10-30,12:38
55,70,1.0,1,12,6,5,2016-10-30,12:38
56,0,1.0,1,12,6,5,2016-10-30,12:39
56,66,1.0,1,12,6,5,2016-10-30,12:39
57,13,1.0,1,12,6,5,2016-10-30,12:45
58,89,1.0,1,12,6,5,2016-10-30,12:59
58,7,1.0,1,12,6,5,2016-10-30,12:59
58,2,1.0,1,12,6,5,2016-10-30,12:59
58,12,1.0,1,12,6,5,2016-10-30,12:59
59,2,1.0,1,13,6,5,2016-10-30,13:02
60,8,1.0,1,13,6,5,2016-10-30,13:14
60,0,1.0,1,13,6,5,2016-10-30,13:14
60,11,1.0,1,13,6,5,2016-10-30,13:14
60,0,1.0,1,13,6,5,2016-10-30,13:14
61,0,1.0,1,13,6,5,2016-10-30,13:15
62,18,1.0,1,13,6,5,2016-10-30,13:24
62,70,1.0,1,13,6,5,2016-10-30,13:24
62,70,1.0,1,13,6,5,2016-10-30,13:24
62,0,1.0,1,13,6,5,2016-10-30,13:24
62,17,1.0,1,13,6,5,2016-10-30,13:24
62,0,1.0,1,13,6,5,2016-10-30,13:24
63,0,1.0,1,13,6,5,2016-10-30,13:33
64,3,1.0,1,13,6,5,2016-10-30,13:34
65,15,1.0,1,13,6,5,2016-10-30,13:37
65,32,1.0,1,13,6,5,2016-10-30,13:37
65,2,1.0,1,13,6,5,2016-10-30,13:37
65,0,1.0,1,13,6,5,2016-10-30,13:37
66,70,1.0,1,13,6,5,2016-10-30,13:40
66,66,1.0,1,13,6,5,2016-10-30,13:40
66,38,1.0,1,13,6,5,2016-10-30,13:40
67,70,1.0,1,13,6,5,2016-10-30,13:46
67,38,1.0,1,13,6,5,2016-10-30,13:46
67,10,1.0,1,13,6,5,2016-10-30,13:46
68,66,1.0,1,13,6,5,2016-10-30,13:49
68,0,1.0,1,13,6,5,2016-10-30,13:49
68,2,1.0,1,13,6,5,2016-10-30,13:49
68,13,1.0,1,13,6,5,2016-10-30,13:49
68,56,1.0,1,13,6,5,2016-10-30,13:49
69,1,1.0,1,13,6,5,2016-10-30,13:51
69,2,1.0,1,13,6,5,2016-10-30,13:51
69,89,1.0,1,13,6,5,2016-10-30,13:51
70,16,1.0,1,13,6,5,2016-10-30,13:54
71,10,1.0,1,13,6,5,2016-10-30,13:56
72,0,1.0,1,14,6,5,2016-10-30,14:21
72,1,1.0,1,14,6,5,2016-10-30,14:21
73,1,1.0,1,14,6,5,2016-10-30,14:22
74,0,1.0,1,14,6,5,2016-10-30,14:24
74,1,1.0,1,14,6,5,2016-10-30,14:24
75,92,1.0,1,14,6,5,2016-10-30,14:32
75,66,1.0,1,14,6,5,2016-10-30,14:32
76,0,1.0,1,14,6,5,2016-10-30,14:32
77,13,1.0,1,14,6,5,2016-10-30,14:35
78,16,1.0,1,14,6,5,2016-10-30,14:42
79,16,1.0,1,14,6,5,2016-10-30,14:45
79,2,1.0,1,14,6,5,2016-10-30,14:45
79,0,1.0,1,14,6,5,2016-10-30,14:45
79,10,1.0,1,14,6,5,2016-10-30,14:45
80,66,1.0,1,14,6,5,2016-10-30,14:48
80,1,1.0,1,14,6,5,2016-10-30,14:48
80,0,1.0,1,14,6,5,2016-10-30,14:48
81,0,0.0,0,8,0,5,2016-10-31,08:28
81,3,0.0,0,8,0,5,2016-10-31,08:28
82,15,0.0,0,8,0,5,2016-10-31,08:47
82,1,0.0,0,8,0,5,2016-10-31,08:47
83,0,0.0,0,8,0,5,2016-10-31,08:57
83,1,0.0,0,8,0,5,2016-10-31,08:57
84,1,0.0,0,9,0,5,2016-10-31,09:04
85,0,0.0,0,9,0,5,2016-10-31,09:10
85,0,0.0,0,9,0,5,2016-10-31,09:10
85,4,0.0,0,9,0,5,2016-10-31,09:10
85,6,0.0,0,9,0,5,2016-10-31,09:10
86,11,0.0,0,9,0,5,2016-10-31,09:11
87,1,0.0,0,9,0,5,2016-10-31,09:12
88,0,0.0,0,9,0,5,2016-10-31,09:16
88,0,0.0,0,9,0,5,2016-10-31,09:16
88,92,0.0,0,9,0,5,2016-10-31,09:16
89,1,0.0,0,9,0,5,2016-10-31,09:19
90,1,0.0,0,9,0,5,2016-10-31,09:20
90,0,0.0,0,9,0,5,2016-10-31,09:20
91,2,0.0,0,9,0,5,2016-10-31,09:22
92,0,0.0,0,9,0,5,2016-10-31,09:27
93,1,0.0,0,9,0,5,2016-10-31,09:29
93,30,0.0,0,9,0,5,2016-10-31,09:29
94,0,0.0,0,9,0,5,2016-10-31,09:39
94,0,0.0,0,9,0,5,2016-10-31,09:39
95,2,0.0,0,9,0,5,2016-10-31,09:43
95,4,0.0,0,9,0,5,2016-10-31,09:43
95,20,0.0,0,9,0,5,2016-10-31,09:43
96,4,0.0,0,9,0,5,2016-10-31,09:46
96,4,0.0,0,9,0,5,2016-10-31,09:46
96,0,0.0,0,9,0,5,2016-10-31,09:46
96,11,0.0,0,9,0,5,2016-10-31,09:46
97,0,0.0,0,9,0,5,2016-10-31,09:51
97,4,0.0,0,9,0,5,2016-10-31,09:51
97,11,0.0,0,9,0,5,2016-10-31,09:51
98,20,0.0,0,9,0,5,2016-10-31,09:52
99,4,0.0,0,9,0,5,2016-10-31,09:56
99,4,0.0,0,9,0,5,2016-10-31,09:56
99,0,0.0,0,9,0,5,2016-10-31,09:56
99,1,0.0,0,9,0,5,2016-10-31,09:56
100,1,0.0,0,9,0,5,2016-10-31,09:58
101,0,0.0,0,10,0,5,2016-10-31,10:04
101,4,0.0,0,10,0,5,2016-10-31,10:04
102,20,0.0,0,10,0,5,2016-10-31,10:04
103,1,0.0,0,10,0,5,2016-10-31,10:07
104,0,0.0,0,10,0,5,2016-10-31,10:12
104,0,0.0,0,10,0,5,2016-10-31,10:12
104,6,0.0,0,10,0,5,2016-10-31,10:12
104,10,0.0,0,10,0,5,2016-10-31,10:12
104,0,0.0,0,10,0,5,2016-10-31,10:12
105,0,0.0,0,10,0,5,2016-10-31,10:21
105,2,0.0,0,10,0,5,2016-10-31,10:21
105,3,0.0,0,10,0,5,2016-10-31,10:21
106,0,0.0,0,10,0,5,2016-10-31,10:24
106,0,0.0,0,10,0,5,2016-10-31,10:24
106,4,0.0,0,10,0,5,2016-10-31,10:24
106,4,0.0,0,10,0,5,2016-10-31,10:24
107,0,0.0,0,10,0,5,2016-10-31,10:27
107,2,0.0,0,10,0,5,2016-10-31,10:27
108,20,0.0,0,10,0,5,2016-10-31,10:31
108,10,0.0,0,10,0,5,2016-10-31,10:31
109,1,0.0,0,10,0,5,2016-10-31,10:35
109,10,0.0,0,10,0,5,2016-10-31,10:35
109,4,0.0,0,10,0,5,2016-10-31,10:35
110,4,0.0,0,10,0,5,2016-10-31,10:36
111,0,0.0,0,10,0,5,2016-10-31,10:38
112,0,0.0,0,10,0,5,2016-10-31,10:59
113,0,0.0,0,11,0,5,2016-10-31,11:02
113,3,0.0,0,11,0,5,2016-10-31,11:02
114,20,0.0,0,11,0,5,2016-10-31,11:05
115,1,0.0,0,11,0,5,2016-10-31,11:08
116,0,0.0,0,11,0,5,2016-10-31,11:11
117,8,0.0,0,11,0,5,2016-10-31,11:13
117,3,0.0,0,11,0,5,2016-10-31,11:13
117,0,0.0,0,11,0,5,2016-10-31,11:13
117,31,0.0,0,11,0,5,2016-10-31,11:13
118,8,0.0,0,11,0,5,2016-10-31,11:18
118,8,0.0,0,11,0,5,2016-10-31,11:18
118,2,0.0,0,11,0,5,2016-10-31,11:18
118,4,0.0,0,11,0,5,2016-10-31,11:18
119,0,0.0,0,11,0,5,2016-10-31,11:25
119,0,0.0,0,11,0,5,2016-10-31,11:25
119,10,0.0,0,11,0,5,2016-10-31,11:25
120,20,0.0,0,11,0,5,2016-10-31,11:29
121,0,0.0,0,11,0,5,2016-10-31,11:30
121,1,0.0,0,11,0,5,2016-10-31,11:30
122,8,0.0,0,11,0,5,2016-10-31,11:37
123,92,0.0,0,11,0,5,2016-10-31,11:42
123,0,0.0,0,11,0,5,2016-10-31,11:42
123,0,0.0,0,11,0,5,2016-10-31,11:42
123,11,0.0,0,11,0,5,2016-10-31,11:42
124,0,0.0,0,11,0,5,2016-10-31,11:43
124,12,0.0,0,11,0,5,2016-10-31,11:43
125,2,0.0,0,11,0,5,2016-10-31,11:47
126,0,0.0,0,11,0,5,2016-10-31,11:52
126,92,0.0,0,11,0,5,2016-10-31,11:52
127,20,0.0,0,11,0,5,2016-10-31,11:53
128,15,0.0,0,11,0,5,2016-10-31,11:55
128,0,0.0,0,11,0,5,2016-10-31,11:55
128,2,0.0,0,11,0,5,2016-10-31,11:55
129,0,0.0,0,11,0,5,2016-10-31,11:59
129,0,0.0,0,11,0,5,2016-10-31,11:59
129,3,0.0,0,11,0,5,2016-10-31,11:59
130,0,1.0,0,12,0,5,2016-10-31,12:03
130,0,1.0,0,12,0,5,2016-10-31,12:03
130,10,1.0,0,12,0,5,2016-10-31,12:03
131,1,1.0,0,12,0,5,2016-10-31,12:08
131,0,1.0,0,12,0,5,2016-10-31,12:08
132,2,1.0,0,12,0,5,2016-10-31,12:14
132,11,1.0,0,12,0,5,2016-10-31,12:14
132,18,1.0,0,12,0,5,2016-10-31,12:14
132,8,1.0,0,12,0,5,2016-10-31,12:14
133,70,1.0,0,12,0,5,2016-10-31,12:16
133,12,1.0,0,12,0,5,2016-10-31,12:16
134,70,1.0,0,12,0,5,2016-10-31,12:19
134,2,1.0,0,12,0,5,2016-10-31,12:19
134,20,1.0,0,12,0,5,2016-10-31,12:19
135,1,1.0,0,12,0,5,2016-10-31,12:20
136,2,1.0,0,12,0,5,2016-10-31,12:27
136,12,1.0,0,12,0,5,2016-10-31,12:27
137,20,1.0,0,12,0,5,2016-10-31,12:37
138,12,1.0,0,12,0,5,2016-10-31,12:43
138,70,1.0,0,12,0,5,2016-10-31,12:43
138,0,1.0,0,12,0,5,2016-10-31,12:43
139,1,1.0,0,12,0,5,2016-10-31,12:50
139,10,1.0,0,12,0,5,2016-10-31,12:50
139,70,1.0,0,12,0,5,2016-10-31,12:50
140,0,1.0,0,12,0,5,2016-10-31,12:53
140,0,1.0,0,12,0,5,2016-10-31,12:53
140,8,1.0,0,12,0,5,2016-10-31,12:53
141,1,1.0,0,12,0,5,2016-10-31,12:54
142,2,1.0,0,12,0,5,2016-10-31,12:56
142,10,1.0,0,12,0,5,2016-10-31,12:56
143,2,1.0,0,12,0,5,2016-10-31,12:59
144,12,1.0,0,13,0,5,2016-10-31,13:02
144,70,1.0,0,13,0,5,2016-10-31,13:02
145,0,1.0,0,13,0,5,2016-10-31,13:05
145,2,1.0,0,13,0,5,2016-10-31,13:05
145,65,1.0,0,13,0,5,2016-10-31,13:05
146,5,1.0,0,13,0,5,2016-10-31,13:08
147,15,1.0,0,13,0,5,2016-10-31,13:09
147,0,1.0,0,13,0,5,2016-10-31,13:09
148,16,1.0,0,13,0,5,2016-10-31,13:21
148,0,1.0,0,13,0,5,2016-10-31,13:21
148,0,1.0,0,13,0,5,2016-10-31,13:21
149,0,1.0,0,13,0,5,2016-10-31,13:26
150,1,1.0,0,13,0,5,2016-10-31,13:31
151,30,1.0,0,13,0,5,2016-10-31,13:50
151,12,1.0,0,13,0,5,2016-10-31,13:50
152,10,1.0,0,13,0,5,2016-10-31,13:51
153,2,1.0,0,13,0,5,2016-10-31,13:55
153,0,1.0,0,13,0,5,2016-10-31,13:55
153,8,1.0,0,13,0,5,2016-10-31,13:55
153,10,1.0,0,13,0,5,2016-10-31,13:55
154,32,1.0,0,14,0,5,2016-10-31,14:00
154,70,1.0,0,14,0,5,2016-10-31,14:00
154,0,1.0,0,14,0,5,2016-10-31,14:00
154,30,1.0,0,14,0,5,2016-10-31,14:00
155,2,1.0,0,14,0,5,2016-10-31,14:01
155,10,1.0,0,14,0,5,2016-10-31,14:01
155,5,1.0,0,14,0,5,2016-10-31,14:01
156,0,1.0,0,14,0,5,2016-10-31,14:04
156,10,1.0,0,14,0,5,2016-10-31,14:04
157,0,1.0,0,14,0,5,2016-10-31,14:05
157,1,1.0,0,14,0,5,2016-10-31,14:05
158,0,1.0,0,14,0,5,2016-10-31,14:20
158,10,1.0,0,14,0,5,2016-10-31,14:20
159,1,1.0,0,14,0,5,2016-10-31,14:22
159,7,1.0,0,14,0,5,2016-10-31,14:22
159,8,1.0,0,14,0,5,2016-10-31,14:22
160,38,1.0,0,14,0,5,2016-10-31,14:35
160,10,1.0,0,14,0,5,2016-10-31,14:35
161,2,1.0,0,14,0,5,2016-10-31,14:42
162,10,1.0,0,14,0,5,2016-10-31,14:44
163,0,1.0,0,14,0,5,2016-10-31,14:47
163,11,1.0,0,14,0,5,2016-10-31,14:47
164,0,1.0,0,14,0,5,2016-10-31,14:47
164,10,1.0,0,14,0,5,2016-10-31,14:47
165,2,1.0,0,14,0,5,2016-10-31,14:48
166,0,1.0,0,14,0,5,2016-10-31,14:49
166,10,1.0,0,14,0,5,2016-10-31,14:49
167,5,1.0,0,14,0,5,2016-10-31,14:50
167,70,1.0,0,14,0,5,2016-10-31,14:50
167,1,1.0,0,14,0,5,2016-10-31,14:50
167,38,1.0,0,14,0,5,2016-10-31,14:50
168,2,1.0,0,14,0,5,2016-10-31,14:56
168,0,1.0,0,14,0,5,2016-10-31,14:56
169,38,1.0,0,15,0,5,2016-10-31,15:05
170,0,1.0,0,15,0,5,2016-10-31,15:16
171,12,1.0,0,15,0,5,2016-10-31,15:20
171,2,1.0,0,15,0,5,2016-10-31,15:20
172,1,2.0,0,17,0,5,2016-10-31,17:06
172,0,2.0,0,17,0,5,2016-10-31,17:06
173,1,2.0,0,17,0,5,2016-10-31,17:08
173,10,2.0,0,17,0,5,2016-10-31,17:08
174,0,2.0,0,17,0,5,2016-10-31,17:40
175,1,2.0,0,17,0,5,2016-10-31,17:49
176,8,2.0,0,18,0,5,2016-10-31,18:22
176,0,2.0,0,18,0,5,2016-10-31,18:22
178,0,0.0,0,7,1,6,2016-11-01,07:51
178,4,0.0,0,7,1,6,2016-11-01,07:51
179,0,0.0,0,8,1,6,2016-11-01,08:20
179,4,0.0,0,8,1,6,2016-11-01,08:20
180,92,0.0,0,8,1,6,2016-11-01,08:22
180,2,0.0,0,8,1,6,2016-11-01,08:22
181,2,0.0,0,8,1,6,2016-11-01,08:45
181,2,0.0,0,8,1,6,2016-11-01,08:45
182,4,0.0,0,9,1,6,2016-11-01,09:07
182,4,0.0,0,9,1,6,2016-11-01,09:07
182,64,0.0,0,9,1,6,2016-11-01,09:07
183,4,0.0,0,9,1,6,2016-11-01,09:09
184,20,0.0,0,9,1,6,2016-11-01,09:26
184,2,0.0,0,9,1,6,2016-11-01,09:26
185,2,0.0,0,9,1,6,2016-11-01,09:29
185,89,0.0,0,9,1,6,2016-11-01,09:29
186,2,0.0,0,9,1,6,2016-11-01,09:43
186,4,0.0,0,9,1,6,2016-11-01,09:43
187,1,0.0,0,10,1,6,2016-11-01,10:02
188,0,0.0,0,10,1,6,2016-11-01,10:04
189,1,0.0,0,10,1,6,2016-11-01,10:29
189,0,0.0,0,10,1,6,2016-11-01,10:29
190,0,0.0,0,10,1,6,2016-11-01,10:34
190,4,0.0,0,10,1,6,2016-11-01,10:34
190,4,0.0,0,10,1,6,2016-11-01,10:34
191,12,0.0,0,10,1,6,2016-11-01,10:50
191,2,0.0,0,10,1,6,2016-11-01,10:50
192,1,0.0,0,10,1,6,2016-11-01,10:56
193,0,0.0,0,11,1,6,2016-11-01,11:00
194,1,0.0,0,11,1,6,2016-11-01,11:04
194,1,0.0,0,11,1,6,2016-11-01,11:04
195,1,0.0,0,11,1,6,2016-11-01,11:06
195,13,0.0,0,11,1,6,2016-11-01,11:06
196,1,0.0,0,11,1,6,2016-11-01,11:08
196,3,0.0,0,11,1,6,2016-11-01,11:08
196,8,0.0,0,11,1,6,2016-11-01,11:08
197,0,0.0,0,11,1,6,2016-11-01,11:10
197,0,0.0,0,11,1,6,2016-11-01,11:10
197,2,0.0,0,11,1,6,2016-11-01,11:10
198,0,0.0,0,11,1,6,2016-11-01,11:11
198,8,0.0,0,11,1,6,2016-11-01,11:11
199,0,0.0,0,11,1,6,2016-11-01,11:13
200,1,0.0,0,11,1,6,2016-11-01,11:16
201,0,0.0,0,11,1,6,2016-11-01,11:22
201,4,0.0,0,11,1,6,2016-11-01,11:22
202,0,0.0,0,11,1,6,2016-11-01,11:23
202,0,0.0,0,11,1,6,2016-11-01,11:23
203,0,0.0,0,11,1,6,2016-11-01,11:25
204,13,0.0,0,11,1,6,2016-11-01,11:30
204,1,0.0,0,11,1,6,2016-11-01,11:30
205,0,0.0,0,11,1,6,2016-11-01,11:49
205,0,0.0,0,11,1,6,2016-11-01,11:49
205,4,0.0,0,11,1,6,2016-11-01,11:49
206,13,0.0,0,11,1,6,2016-11-01,11:54
206,0,0.0,0,11,1,6,2016-11-01,11:54
206,4,0.0,0,11,1,6,2016-11-01,11:54
207,70,1.0,0,12,1,6,2016-11-01,12:03
207,0,1.0,0,12,1,6,2016-11-01,12:03
207,10,1.0,0,12,1,6,2016-11-01,12:03
208,1,1.0,0,12,1,6,2016-11-01,12:10
209,0,1.0,0,12,1,6,2016-11-01,12:10
210,13,1.0,0,12,1,6,2016-11-01,12:12
211,12,1.0,0,12,1,6,2016-11-01,12:15
211,0,1.0,0,12,1,6,2016-11-01,12:15
212,0,1.0,0,12,1,6,2016-11-01,12:20
212,8,1.0,0,12,1,6,2016-11-01,12:20
212,15,1.0,0,12,1,6,2016-11-01,12:20
213,1,1.0,0,12,1,6,2016-11-01,12:22
214,1,1.0,0,12,1,6,2016-11-01,12:26
214,2,1.0,0,12,1,6,2016-11-01,12:26
214,2,1.0,0,12,1,6,2016-11-01,12:26
215,4,1.0,0,12,1,6,2016-11-01,12:30
215,0,1.0,0,12,1,6,2016-11-01,12:30
216,15,1.0,0,12,1,6,2016-11-01,12:31
216,0,1.0,0,12,1,6,2016-11-01,12:31
217,1,1.0,0,12,1,6,2016-11-01,12:33
217,8,1.0,0,12,1,6,2016-11-01,12:33
218,5,1.0,0,12,1,6,2016-11-01,12:37
219,15,1.0,0,12,1,6,2016-11-01,12:41
220,1,1.0,0,12,1,6,2016-11-01,12:49
220,4,1.0,0,12,1,6,2016-11-01,12:49
221,1,1.0,0,12,1,6,2016-11-01,12:53
221,13,1.0,0,12,1,6,2016-11-01,12:53
222,13,1.0,0,13,1,6,2016-11-01,13:08
223,19,1.0,0,13,1,6,2016-11-01,13:11
223,0,1.0,0,13,1,6,2016-11-01,13:11
224,0,1.0,0,13,1,6,2016-11-01,13:15
225,0,1.0,0,13,1,6,2016-11-01,13:19
225,30,1.0,0,13,1,6,2016-11-01,13:19
225,12,1.0,0,13,1,6,2016-11-01,13:19
226,3,1.0,0,13,1,6,2016-11-01,13:21
227,2,1.0,0,13,1,6,2016-11-01,13:31
227,5,1.0,0,13,1,6,2016-11-01,13:31
227,12,1.0,0,13,1,6,2016-11-01,13:31
228,0,1.0,0,13,1,6,2016-11-01,13:33
229,70,1.0,0,13,1,6,2016-11-01,13:37
229,1,1.0,0,13,1,6,2016-11-01,13:37
230,19,1.0,0,13,1,6,2016-11-01,13:41
231,3,1.0,0,13,1,6,2016-11-01,13:45
232,2,1.0,0,14,1,6,2016-11-01,14:10
232,2,1.0,0,14,1,6,2016-11-01,14:10
232,1,1.0,0,14,1,6,2016-11-01,14:10
233,0,1.0,0,14,1,6,2016-11-01,14:13
233,2,1.0,0,14,1,6,2016-11-01,14:13
233,1,1.0,0,14,1,6,2016-11-01,14:13
233,12,1.0,0,14,1,6,2016-11-01,14:13
234,0,1.0,0,14,1,6,2016-11-01,14:14
234,0,1.0,0,14,1,6,2016-11-01,14:14
235,13,1.0,0,14,1,6,2016-11-01,14:18
236,16,1.0,0,14,1,6,2016-11-01,14:22
237,0,1.0,0,14,1,6,2016-11-01,14:25
237,5,1.0,0,14,1,6,2016-11-01,14:25
238,2,1.0,0,14,1,6,2016-11-01,14:37
238,1,1.0,0,14,1,6,2016-11-01,14:37
238,8,1.0,0,14,1,6,2016-11-01,14:37
238,4,1.0,0,14,1,6,2016-11-01,14:37
239,10,1.0,0,14,1,6,2016-11-01,14:37
240,13,1.0,0,14,1,6,2016-11-01,14:42
241,92,1.0,0,14,1,6,2016-11-01,14:54
241,2,1.0,0,14,1,6,2016-11-01,14:54
242,11,1.0,0,15,1,6,2016-11-01,15:02
242,2,1.0,0,15,1,6,2016-11-01,15:02
242,19,1.0,0,15,1,6,2016-11-01,15:02
243,3,1.0,0,15,1,6,2016-11-01,15:18
243,10,1.0,0,15,1,6,2016-11-01,15:18
243,0,1.0,0,15,1,6,2016-11-01,15:18
243,12,1.0,0,15,1,6,2016-11-01,15:18
244,7,1.0,0,15,1,6,2016-11-01,15:33
244,3,1.0,0,15,1,6,2016-11-01,15:33
244,0,1.0,0,15,1,6,2016-11-01,15:33
245,3,1.0,0,15,1,6,2016-11-01,15:37
245,8,1.0,0,15,1,6,2016-11-01,15:37
246,2,1.0,0,15,1,6,2016-11-01,15:48
246,1,1.0,0,15,1,6,2016-11-01,15:48
247,19,1.0,0,16,1,6,2016-11-01,16:07
247,0,1.0,0,16,1,6,2016-11-01,16:07
247,0,1.0,0,16,1,6,2016-11-01,16:07
247,0,1.0,0,16,1,6,2016-11-01,16:07
247,11,1.0,0,16,1,6,2016-11-01,16:07
248,0,1.0,0,16,1,6,2016-11-01,16:08
248,2,1.0,0,16,1,6,2016-11-01,16:08
248,12,1.0,0,16,1,6,2016-11-01,16:08
249,7,1.0,0,16,1,6,2016-11-01,16:10
250,8,1.0,0,16,1,6,2016-11-01,16:10
251,0,1.0,0,16,1,6,2016-11-01,16:26
251,6,1.0,0,16,1,6,2016-11-01,16:26
